[ 1.24344979e-14 -4.61852778e-14  2.04281037e-14]
[ 5.32907052e-15 -5.68434189e-14  2.75335310e-14]
[ 1.95399252e-14 -6.21724894e-14  3.28626015e-14]
[ 1.95399252e-14 -5.86197757e-14  3.10862447e-14]
[ 8.88178420e-15 -5.68434189e-14  2.75335310e-14]
[ 7.10542736e-15 -7.10542736e-14  1.42108547e-14]
[ 1.06581410e-14 -6.92779167e-14  1.33226763e-14]
[-5.32907052e-15 -8.70414851e-14  1.24344979e-14]
[-7.10542736e-15 -8.70414851e-14  7.99360578e-15]
[-1.77635684e-15 -8.52651283e-14  3.55271368e-15]
[-5.32907052e-15 -9.23705556e-14 -7.99360578e-15]
[ 0.00000000e+00 -9.59232693e-14 -7.99360578e-15]
[-3.55271368e-15 -9.05941988e-14  6.21724894e-15]
[-1.77635684e-15 -8.52651283e-14 -7.10542736e-15]
[-1.24344979e-14 -9.05941988e-14  6.21724894e-15]
[-1.42108547e-14 -8.17124146e-14  0.00000000e+00]
[-1.42108547e-14 -9.23705556e-14  1.42108547e-14]
[-1.06581410e-14 -6.92779167e-14 -8.88178420e-15]
[-7.10542736e-15 -8.88178420e-14  2.13162821e-14]
[-1.95399252e-14 -9.05941988e-14  1.33226763e-14]
[-2.84217094e-14 -7.99360578e-14  4.44089210e-15]
[-3.01980663e-14 -8.34887715e-14  1.42108547e-14]
[-1.95399252e-14 -1.08357767e-13  1.68753900e-14]
[-2.13162821e-14 -9.23705556e-14  4.44089210e-15]
[-1.77635684e-14 -9.76996262e-14  2.75335310e-14]
[-2.48689958e-14 -9.41469125e-14  2.48689958e-14]
[-2.48689958e-14 -9.41469125e-14  1.77635684e-15]
[-1.59872116e-14 -9.05941988e-14  6.21724894e-15]
[-1.06581410e-14 -9.59232693e-14  4.44089210e-15]
[-2.30926389e-14 -8.52651283e-14  2.13162821e-14]
[-1.59872116e-14 -1.01252340e-13 -7.10542736e-15]
[-2.30926389e-14 -9.59232693e-14  1.68753900e-14]
[-2.66453526e-14 -8.88178420e-14 -5.32907052e-15]
[-1.95399252e-14 -1.03028697e-13  2.57571742e-14]
[-1.42108547e-14 -1.19015908e-13  1.95399252e-14]
[-1.42108547e-14 -9.76996262e-14  2.66453526e-14]
[-2.13162821e-14 -1.06581410e-13  3.28626015e-14]
[-3.37507799e-14 -8.17124146e-14  2.93098879e-14]
[-3.37507799e-14 -8.17124146e-14  3.37507799e-14]
[-4.26325641e-14 -1.08357767e-13  0.00000000e+00]
[-3.01980663e-14 -1.10134124e-13  3.55271368e-14]
[-3.37507799e-14 -9.94759830e-14 -8.88178420e-16]
[-3.01980663e-14 -1.17239551e-13  2.48689958e-14]
[-2.66453526e-14 -1.26121336e-13  2.30926389e-14]
[-4.08562073e-14 -1.06581410e-13  4.08562073e-14]
[-2.13162821e-14 -1.11910481e-13  1.06581410e-14]
[-2.30926389e-14 -1.06581410e-13  1.15463195e-14]
[-2.66453526e-14 -1.35003120e-13  1.86517468e-14]
[-2.66453526e-14 -7.99360578e-14  1.33226763e-14]
[-3.37507799e-14 -1.27897692e-13  2.57571742e-14]
[-3.01980663e-14 -1.33226763e-13  4.44089210e-15]
[-2.66453526e-14 -9.76996262e-14  2.04281037e-14]
[-2.84217094e-14 -1.22568622e-13  3.73034936e-14]
[-2.13162821e-14 -1.24344979e-13  3.55271368e-14]
[-1.95399252e-14 -1.10134124e-13  3.37507799e-14]
[-1.95399252e-14 -9.94759830e-14  1.15463195e-14]
[-2.48689958e-14 -1.13686838e-13  1.95399252e-14]
[-8.88178420e-15 -1.04805054e-13  8.88178420e-15]
[-5.32907052e-15 -1.10134124e-13  3.10862447e-14]
[-8.88178420e-15 -1.20792265e-13  3.28626015e-14]
[-3.55271368e-15 -1.06581410e-13  2.57571742e-14]
[-5.32907052e-15 -1.10134124e-13  7.10542736e-15]
[-1.77635684e-14 -1.17239551e-13  3.19744231e-14]
[-2.30926389e-14 -1.08357767e-13  3.19744231e-14]
[-2.30926389e-14 -1.15463195e-13  3.19744231e-14]
[-2.13162821e-14 -9.23705556e-14  1.68753900e-14]
[-5.32907052e-15 -9.05941988e-14  3.46389584e-14]
[-2.13162821e-14 -8.88178420e-14  4.88498131e-14]
[-1.42108547e-14 -1.04805054e-13  1.95399252e-14]
[-1.95399252e-14 -9.94759830e-14  2.22044605e-14]
[-2.84217094e-14 -8.70414851e-14  2.30926389e-14]
[-4.26325641e-14 -9.05941988e-14  4.08562073e-14]
[-2.84217094e-14 -1.06581410e-13  2.75335310e-14]
[-3.37507799e-14 -8.70414851e-14  1.50990331e-14]
[-2.48689958e-14 -9.94759830e-14  6.21724894e-15]
[-3.01980663e-14 -1.11910481e-13  7.10542736e-15]
[-4.08562073e-14 -9.05941988e-14  1.59872116e-14]
[-2.48689958e-14 -1.08357767e-13  1.59872116e-14]
[-3.90798505e-14 -1.35003120e-13  3.10862447e-14]
[-2.48689958e-14 -1.10134124e-13  1.86517468e-14]
[-3.90798505e-14 -8.52651283e-14  1.68753900e-14]
[-4.97379915e-14 -1.20792265e-13  1.68753900e-14]
[-5.15143483e-14 -1.29674049e-13  3.10862447e-14]
[-5.32907052e-14 -1.04805054e-13  3.10862447e-14]
[-5.68434189e-14 -8.52651283e-14  5.32907052e-15]
[-5.15143483e-14 -9.94759830e-14  4.08562073e-14]
[-4.61852778e-14 -1.06581410e-13  1.42108547e-14]
[-4.26325641e-14 -1.08357767e-13  3.37507799e-14]
[-3.37507799e-14 -9.76996262e-14  2.30926389e-14]
[-1.42108547e-14 -9.41469125e-14  7.10542736e-15]
[-3.19744231e-14 -1.04805054e-13  4.52970994e-14]
[-3.73034936e-14 -1.04805054e-13  3.28626015e-14]
[-2.48689958e-14 -8.88178420e-14  3.90798505e-14]
[-3.01980663e-14 -1.03028697e-13  4.97379915e-14]
[-3.19744231e-14 -1.04805054e-13  2.93098879e-14]
[-4.26325641e-14 -1.03028697e-13  3.90798505e-14]
[-4.97379915e-14 -9.59232693e-14  3.28626015e-14]
[-4.08562073e-14 -1.24344979e-13  2.13162821e-14]
[-4.26325641e-14 -1.15463195e-13 -4.44089210e-15]
[-3.37507799e-14 -1.10134124e-13  3.37507799e-14]
[-3.01980663e-14 -9.23705556e-14  2.93098879e-14]
[-5.15143483e-14 -1.10134124e-13  2.30926389e-14]
[-4.61852778e-14 -7.81597009e-14  9.76996262e-15]
[-3.55271368e-14 -1.31450406e-13  2.93098879e-14]
[-4.08562073e-14 -8.70414851e-14  3.90798505e-14]
[-3.37507799e-14 -1.10134124e-13  4.79616347e-14]
[-3.55271368e-14 -8.88178420e-14  2.48689958e-14]
[-4.61852778e-14 -1.11910481e-13  2.30926389e-14]
[-3.55271368e-14 -9.76996262e-14  1.86517468e-14]
[-4.79616347e-14 -7.63833441e-14  3.10862447e-14]
[-2.13162821e-14 -1.06581410e-13  1.06581410e-14]
[-2.48689958e-14 -8.70414851e-14  4.08562073e-14]
[-2.84217094e-14 -9.41469125e-14  6.21724894e-14]
[-3.73034936e-14 -1.17239551e-13  3.28626015e-14]
[-5.50670620e-14 -1.26121336e-13  2.66453526e-14]
[-5.86197757e-14 -1.10134124e-13  3.64153152e-14]
[-4.44089210e-14 -1.04805054e-13  4.88498131e-14]
[-4.08562073e-14 -1.13686838e-13  4.35207426e-14]
[-5.15143483e-14 -1.10134124e-13  3.46389584e-14]
[-3.55271368e-14 -1.10134124e-13  2.93098879e-14]
[-4.79616347e-14 -1.15463195e-13  4.61852778e-14]
[-5.50670620e-14 -9.94759830e-14  2.84217094e-14]
[-6.03961325e-14 -1.33226763e-13  8.88178420e-15]
[-6.39488462e-14 -1.08357767e-13  2.75335310e-14]
[-6.03961325e-14 -1.19015908e-13  5.41788836e-14]
[-5.68434189e-14 -1.22568622e-13  4.97379915e-14]
[-5.32907052e-14 -1.13686838e-13  6.66133815e-14]
[-4.61852778e-14 -1.31450406e-13  3.28626015e-14]
[-6.39488462e-14 -9.76996262e-14  3.37507799e-14]
[-5.15143483e-14 -1.40332190e-13  4.79616347e-14]
[-7.28306304e-14 -1.38555833e-13  2.57571742e-14]
[-5.86197757e-14 -1.40332190e-13  2.39808173e-14]
[-4.79616347e-14 -1.15463195e-13  2.13162821e-14]
[-4.44089210e-14 -1.33226763e-13  2.30926389e-14]
[-4.26325641e-14 -1.19015908e-13  3.01980663e-14]
[-4.97379915e-14 -1.27897692e-13  2.13162821e-14]
[-6.03961325e-14 -1.24344979e-13  2.13162821e-14]
[-5.50670620e-14 -1.13686838e-13  2.30926389e-14]
[-6.92779167e-14 -1.27897692e-13  1.95399252e-14]
[-5.24025268e-14 -1.45661261e-13  3.10862447e-14]
[-3.99680289e-14 -1.01252340e-13  1.68753900e-14]
[-5.86197757e-14 -1.22568622e-13 -1.11022302e-14]
[-5.72875081e-14 -1.17239551e-13  1.93178806e-14]
[-4.17443857e-14 -9.59232693e-14  2.46469511e-14]
[-5.50670620e-14 -8.88178420e-14  8.43769499e-15]
[-5.15143483e-14 -9.94759830e-14 -7.77156117e-15]
[-5.32907052e-14 -8.88178420e-14 -1.53210777e-14]
[-4.61852778e-14 -1.13686838e-13 -1.99840144e-15]
[-6.39488462e-14 -1.24344979e-13 -1.55431223e-14]
[-6.39488462e-14 -1.31450406e-13 -9.76996262e-15]
[-5.68434189e-14 -1.03028697e-13 -4.88498131e-15]
[-6.57252031e-14 -1.06581410e-13  2.66453526e-15]
[-4.79616347e-14 -1.24344979e-13 -1.95399252e-14]
[-3.73034936e-14 -1.24344979e-13 -5.32907052e-15]
[-3.01980663e-14 -1.17239551e-13 -3.77475828e-15]
[-6.03961325e-14 -8.88178420e-14 -1.48769885e-14]
[-5.86197757e-14 -9.94759830e-14 -1.55431223e-15]
[-7.46069873e-14 -1.17239551e-13 -6.66133815e-16]
[-6.75015599e-14 -1.20792265e-13  1.19904087e-14]
[-5.86197757e-14 -1.27897692e-13 -2.15383267e-14]
[-5.32907052e-14 -1.13686838e-13 -7.54951657e-15]
[-7.10542736e-14 -7.10542736e-14 -1.06581410e-14]
[-7.10542736e-14 -8.88178420e-14  1.57651669e-14]
[-7.46069873e-14 -9.23705556e-14 -1.77635684e-14]
[-5.50670620e-14 -8.88178420e-14 -1.50990331e-14]
[-4.97379915e-14 -1.20792265e-13  3.99680289e-15]
[-3.55271368e-14 -1.03028697e-13 -2.70894418e-14]
[-4.08562073e-14 -1.06581410e-13  2.10942375e-14]
[-3.55271368e-14 -1.03028697e-13 -3.66373598e-14]
[-3.01980663e-14 -8.88178420e-14 -3.01980663e-14]
[-3.19744231e-14 -8.88178420e-14 -2.17603713e-14]
[-2.30926389e-14 -8.88178420e-14 -4.21884749e-15]
[-4.08562073e-14 -1.06581410e-13  1.75415238e-14]
[-1.42108547e-14 -9.59232693e-14  1.70974346e-14]
[-1.06581410e-14 -1.10134124e-13  1.55431223e-14]
[-4.26325641e-14 -6.39488462e-14  2.26485497e-14]
[-3.73034936e-14 -1.06581410e-13 -5.77315973e-15]
[-2.13162821e-14 -9.59232693e-14  1.77635684e-15]
[-3.01980663e-14 -9.23705556e-14 -3.55271368e-15]
[-3.73034936e-14 -6.75015599e-14  1.57651669e-14]
[-4.79616347e-14 -7.46069873e-14  2.06501483e-14]
[-2.66453526e-14 -1.10134124e-13 -4.21884749e-15]
[-1.95399252e-14 -8.17124146e-14 -2.66453526e-14]
[-1.95399252e-14 -1.10134124e-13  8.88178420e-15]
[-3.55271368e-14 -9.94759830e-14 -3.10862447e-15]
[-1.95399252e-14 -9.23705556e-14  6.21724894e-15]
[-4.61852778e-14 -1.17239551e-13 -4.88498131e-15]
[-5.15143483e-14 -1.10134124e-13 -3.21964677e-14]
[-3.55271368e-14 -1.13686838e-13  1.90958360e-14]
[-3.90798505e-14 -9.59232693e-14 -8.21565038e-15]
[-3.73034936e-14 -8.17124146e-14 -4.21884749e-15]
[-3.73034936e-14 -1.03028697e-13  3.19744231e-14]
[-3.01980663e-14 -1.06581410e-13  7.10542736e-15]
[-2.66453526e-14 -1.10134124e-13  5.55111512e-15]
[-4.79616347e-14 -1.10134124e-13  2.08721929e-14]
[-2.84217094e-14 -1.24344979e-13 -2.08721929e-14]
[-3.37507799e-14 -1.35003120e-13 -2.35367281e-14]
[-2.66453526e-14 -1.27897692e-13  8.43769499e-15]
[-1.59872116e-14 -1.24344979e-13 -1.86517468e-14]
[-1.77635684e-14 -1.35003120e-13 -1.06581410e-14]
[-4.79616347e-14 -1.35003120e-13 -8.88178420e-16]
[-3.19744231e-14 -1.20792265e-13 -2.48689958e-14]
[-2.66453526e-14 -1.17239551e-13  1.68753900e-14]
[-2.48689958e-14 -1.10134124e-13  3.33066907e-15]
[-2.84217094e-14 -1.27897692e-13  6.66133815e-16]
[-1.59872116e-14 -1.13686838e-13  8.43769499e-15]
[-5.32907052e-15 -1.03028697e-13  8.21565038e-15]
[-2.84217094e-14 -8.17124146e-14 -2.22044605e-16]
[-3.01980663e-14 -1.42108547e-13  4.44089210e-15]
[-4.26325641e-14 -1.45661261e-13  2.08721929e-14]
[-2.84217094e-14 -1.20792265e-13  9.10382880e-15]
[-3.19744231e-14 -7.81597009e-14 -1.55431223e-15]
[-2.66453526e-14 -1.03028697e-13 -6.88338275e-15]
[-3.01980663e-14 -1.10134124e-13 -2.42028619e-14]
[-2.66453526e-14 -1.13686838e-13 -1.31006317e-14]
[-1.59872116e-14 -9.59232693e-14 -3.35287353e-14]
[-1.24344979e-14 -8.88178420e-14 -2.75335310e-14]
[-2.48689958e-14 -9.23705556e-14 -5.77315973e-15]
[ 0.00000000e+00 -1.10134124e-13 -1.22124533e-14]
[-1.06581410e-14 -1.17239551e-13 -3.33066907e-15]
[-1.59872116e-14 -8.52651283e-14 -3.66373598e-14]
[-1.42108547e-14 -1.06581410e-13 -1.02140518e-14]
[-1.59872116e-14 -1.20792265e-13 -2.19824159e-14]
[-8.88178420e-15 -1.13686838e-13  5.10702591e-15]
[-1.59872116e-14 -1.27897692e-13 -2.44249065e-14]
[ 1.24344979e-14 -7.46069873e-14 -9.10382880e-15]
